price,artist,title,condition,period,movement,year_numeric,condition_grouped,is_signed
28500,Tommaso Ottieri,Bayreuth Opera,This work is in excellent condition.,Contemporary,Baroque,2021,Excellent,Yes
3000,Pavel Tchelitchew,Drawings of the Opera,Not examined out of frame.No obvious signs of wear to works.,Post-War,Surrealism,1930,Other,Yes
5000,Leo Gabin,Two on Sidewalk,This work is in excellent condition.,Contemporary,Abstract,2016,Excellent,Yes
5000,Matthias Dornfeld,Blumenszene,This work is in excellent condition.There is minor craquelure inherent to the artist's work.,Contemporary,Abstract,2010,Excellent,Yes
2500,Alexis Marguerite Teplin,Feverish Embarkation,This work is in excellent condition.,Contemporary,Abstract,2001,Excellent,Yes
7575,Kenzo Okada,Bamboo,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism,1977,Excellent,Yes
7550,Francesco Clemente,Air,"This work is in excellent condition, direct from the publisher.",Contemporary,Neo-Expressionism,2007,Excellent,Yes
3550,Günther  Förg,Untitled (Green),"This work is in very good condition, direct from the publisher.",Contemporary,Modernism,1993,Good,Yes
3075,Dan Walsh,Manifold - Blue,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,2014,Excellent,Yes
3550,Günther  Förg,Untitled (Orange/Black),"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism,1993,Excellent,Yes
3075,Dan Walsh,Manifold - Red,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,2014,Excellent,Yes
40000,Friedel Dzubas,Upstream,This work is in excellent condition.,Contemporary,Abstract,1973,Excellent,Yes
15000,Zhang Yu,96.6.2,"This work is in very good condition; however, there is significant rippling of the paper throughout, including a large crease down center front. These undulations are most likely caused by the nature of the materials used.",Contemporary,Contemporary,2000,Good,Yes
7000,Chris Ofili,"Last Night, New Day","This work is in excellent condition, direct from the publisher.",Contemporary,"Punk, Young British Artists, Abstract",2008,Excellent,Yes
4000,Marcel Dzama,Here's a Fine Revolution,"This work is in excellent condition, direct from the publisher.",Contemporary,Magic Realism ,2015,Excellent,Yes
4000,Leonardo Drew,CPP11,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism,2015,Excellent,Yes
5000,Anne Appleby,Cottonwood,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,2012,Excellent,Yes
8000,Sol LeWitt,Horizontal Bands (More or Less) Red/Green,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,2002,Excellent,Yes
5500,Jockum Nordström,House and Bugs,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism,2008,Excellent,Yes
2500,William Bailey,Stradina,"This work is in excellent condition, direct from the publisher.",Contemporary,Realism,2002,Excellent,Yes
7000,Al Held,Fly Away,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism,1992,Excellent,Yes
6000,Tomma Abts,Untitled (small circles),"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract,2015,Excellent,Yes
7000,Richard Tuttle,Trans Asian,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism,1993,Excellent,Yes
7000,Matt Mullican,"REPRESENT THE WORK, Logo","This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2020,Excellent,Yes
8000,Leonardo Drew,CPP1,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism,2015,Excellent,Yes
6500,Pat Steir,Hand Painted Lily #1,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1992,Excellent,Yes
10000,Wayne Thiebaud,Dark Canyon Bluffs,"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism,2014,Excellent,Yes
10000,Anish Kapoor,Untitled 12,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1991,Excellent,Yes
8500,Charline von Heyl,Nightpack (Red Yellow Blue),"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract,2014,Excellent,Yes
4000,Leonardo Drew,CPP10,"This work is in excellent condition, direct from the publisher.",Contemporary,Post-Minimalism,2015,Excellent,Yes
2800,Patricia Treib,Pendulum,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract,2018,Excellent,Yes
12000,Guy Pène Du Bois,Billboard,"The following condition report has been provided by Simon Parkes Art Conservation, Inc., New York, an independent restorer who is not an employee of Sotheby's:This work is in good condition.It has developed mild thin cracks across the top edge and across the bottom edge, not unusual for plywood.The cracks have not been retouched, except in the left shoulder of the figure, and will remain stable.The paint layer is clean and lightly varnished.There are a few retouches in tiny spots around the edges, in the left elbow of the figure and in 5 small spots in the left background.Pene du Bois' original color reads quite strongly in the hat and in the diagonal green line across the lower part of the picture, but this is all original pigment. The work should be hung as is.",Modern,Realism,1920,Good,Yes
2000,Jason Bereswill,Study for Saline Rocks,Mounted to a new mat ,Contemporary,Realism,2008,Other,No
5000,Bernard Taurelle,Jeune Fille Songeuse,This work is in excellent condition.There is one minor puncture mark to the far left of the canvas.,Post-War,Post-Impressionism,1950,Excellent,Yes
3000,Louis Fabien,Coupe et Fruits,This work is in excellent condition.Two minor tears to the upper right and bottom left fabric mat.,Post-War,Impressionism,1950,Excellent,Yes
5000,Bernard Taurelle,Le Gouter ,This work is in excellent condition.Minor chips to the frame's ornament.,Post-War,Impressionism,1950,Excellent,Yes
15000,Kehinde Wiley,Sophie Arnould Study II,"The work is in excellent condition, direct from the publisher.",Contemporary,Realism,2016,Excellent,Yes
6000,James A. Fetherolf,Agathlan (Monument Valley),The canvas is unlined and tacked to the original stretchers. There is frame abrasion along the edges with associated chip losses. Under UV: The work retains an uneven varnish. ,Post-War,Realism,1980,Other,Yes
2500,Julia Noffsinger Rogers,Dappled Light,The canvas is unlined and tacked to the original stretchers.There is minor frame abrasion around the extreme outer edges. Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration. ,Post-War,Realism,1980,Other,Yes
900,Julia Noffsinger Rogers,Breeze Through the Grass ,There is minor frame abrasion along the extreme edges.Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration. ,Post-War,Realism,1980,Other,Yes
800,Grant Hacking,From Hal's Eye,There is frame abrasion with associated losses in the extreme outer corners. Under UV: The work retains an uneven varnish.,Post-War,Realism,1980,Other,Yes
700,Linda Besse,Servel Portrait,The work is in original condition.Under UV: There are no signs of inpainting or previous restoration. ,Contemporary,Realism,2003,Other,Yes
1200,Grant Hacking,To the Kouppie,There is frame abrasion along the edges. Under UV: There do not appear to be signs of inpainting or previous restoration. ,Post-War,Realism,1980,Other,Yes
700,Vic Guhrs,Lion and Birds,The canvas is unlined and tacked to the original stretchers and there is minor frame abrasion along the bottom edge. Under UV: There are no signs of inpainting or previous restoration.,Post-War,Realism,1980,Other,Yes
7000,James A. Fetherolf,Canadian Spring,The canvas is unlined and tacked to the original stretchers. The canvas is slightly dirty and there is a visible stretcher bar mark in the top register.Under UV: There are no signs of inpainting or previous restoration.,Post-War,Realism,1980,Other,Yes
5000,Pierre Couzy,Vigilant Cheetah,The canvas is unlined and tacked to the original stretchers. Under UV: There are no signs of inpainting or previous restoration. ,Post-War,Realism,1980,Other,Yes
3000,Grant Hacking,Zebras Drinking,The canvas is unlined and there is minor frame abrasion along the extreme edges.Under UV: There are no signs of inpainting or previous restoration. ,Contemporary,Realism,2000,Other,Yes
3000,Grant Hacking,Cheetah Family (Distant Rain) ,The canvas is unlined and tacked to the original stretchers. There is minor frame abrasion along the extreme edges. Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration. ,Post-War,Realism,1980,Other,Yes
1200,Grant Hacking,Looking for Game ,The canvas is unlined and tacked to the original stretchers. Under UV: There are no signs of inpainting or previous restoration.,Contemporary,Realism,2010,Other,Yes
5000,Pierre Couzy,Cheetah,The canvas is unlined and tacked to the original stretchers.There is minor frame abrasion along the edges. Under UV: There are no signs of inpainting or previous restoration.,Post-War,Realism,1980,Other,Yes
1000,Linda Besse,In the Grass - Cheetah,There is minor frame abrasion along the edges. Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration.,Contemporary,Realism,2005,Other,Yes
700,Grant Hacking,A Curious Glance,The canvas is unlined. Under UV: There are no signs of inpainting or previous restoration.,Post-War,Realism,1980,Other,Yes
800,Linda Besse,Lion Cubs,The work is in original condition. Under UV: there are no signs of inpainting or previous restoration.,Contemporary,Realism,2002,Other,Yes
5000,Grant Hacking,"Late Afternoon Shadows, Cheetah","The canvas is unlined and tacked to the original stretchers.There is frame abrasion along the edges and there are a few scattered pindots of surface accretions within the sky.Under UV: While some pigments fluoresce, they appear to be the artist's original.",Contemporary,Realism,2001,Other,Yes
5000,James A. Fetherolf,Big Medicine,The work is unlined and tacked to the original stretchers. There is a small surface scuff in the rock formation at lower left. ,Post-War,Realism,1980,Other,Yes
5000,James A. Fetherolf,Mount Eisenhower (Banff National Park),The canvas is unlined and tacked to the original stretchers. The work is slightly dirty. Under UV: There are no signs of inpainting or previous restoration.,Post-War,Realism,1980,Other,Yes
1200,Elsa Cornelissen,Untitled (Cheetah Drinking),The board is affixed to the support and mat along all four edges. Due to the nature of the mounting the extreme outer edges and reverse have not been inspected. The surface of the work is clean. Under UV: There do not appear to be signs of inpainting or previous restoration.,Post-War,Realism,1980,Other,Yes
30000,Michael Ghaui,Zebra on the Mwagusi Sand River ,"The canvas is unlined and tacked to the original stretchers. Under UV: While some pigments read strongly, they appear to be the artist’s original.  ",Post-War,Realism,1999,Other,Yes
6000,Grant Hacking,Zebras in the Hills,The canvas is unlined and there is minor frame abrasion to the extreme edges.Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration.,Contemporary,Realism,2000,Other,Yes
2500,Elsa Cornelissen,Leopard on Log,"The work is made up of collage of oil on leather and hardening compound and wood secured to board.The leather is stable and secured to the backing board. Under UV: Although some pigments fluoresce, this is inherent to the mixed media used by the artist.",Post-War,Realism,1980,Other,Yes
5500,Philip Howard Evergood,Wounders of a Frog ,Not examined out of frame.Work is in original condition.,Post-War,Expressionism,1958,Other,Yes
34000,Adolf Schreyer,Arab Chief,"The canvas is not lined.Fine craquelure in the sky, under a dull and yellowed varnish.Under UV light, possible old inpainting on the center figure's saddle and the hindquarters of the brown horse at right.",19th Century,Realism,1850,Other,Yes
5000,Sergei Bongart,"Untitled, Still Life with Watermelon","Not examined out of frame.No obvious signs of wear to painting.Frame shows signs of wear and use, minor nicks and scrapes.",Post-War,Post-Impressionism,1970,Other,Yes
12000,Joseph Rusling Meeker,"Boating, Early Autumn ",Very good condition.Relined.,19th Century,Realism,1877,Good,Yes
20000,Hiram Reynolds Bloomer,Yosemite Valley with Native American Encampment,Canvas is in overall very good condition.Frame is in poor condition.This work has been restored by Marco Grassi.,19th Century,Realism,1877,Good,Yes
7150,Edward Moran,Boy and His Boat,"Not examined out of frame.Some cracking to painting from age.Nicks and cracks to frame, more prominently on corners.",19th Century,Realism,1880,Other,Yes
10000,Felix Schlesinger,Untitled ,"Not examined out of frame.Rubbing of frame caused some loss to paint across the top of painting, most predominately in the center.Nicks and chips to the frame, largest nicks are on the top left and bottom right.Wear consistent with age.",19th Century,Realism,1850,Other,Yes
2250,Takashi Murakami,Jellyfish Eyes - Black 3,This work is in excellent condition.,Contemporary,Pop Art,2004,Excellent,Yes
3000,Takashi Murakami,"And Then... All Things Good and Bad, All Days Fine and Rough",This work is in excellent condition.,Contemporary,Pop Art,2014,Excellent,Yes
2250,Takashi Murakami,Jellyfish Eyes - Black 1,This work is in excellent condition.,Contemporary,Pop Art,2004,Excellent,Yes
3000,Takashi Murakami,Flower Ball (Dumpling),This work is in excellent condition.,Contemporary,Pop Art,2013,Excellent,Yes
2250,Takashi Murakami,Jellyfish Eyes - White 1,This work is in excellent condition.,Contemporary,Pop Art,2006,Excellent,Yes
14000,KAWS,Man's Best Friend,Excellent condition ,Contemporary,Street Art,2016,Excellent,Yes
70000,Roy Lichtenstein,Landscape Mobile (Limoges),"This work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,1990,Excellent,Yes
1895,George Pearse Ennis,River Scene,Minor fading.Frame shows some wear.,Modern,Impressionism,1925,Other,Yes
3250,Edgar Nye,Going Home #24,Wear consistent with age and use. ,Modern,Expressionism,1935,Other,No
7500,George Pearse Ennis,Harbor Scene,Wear consistent with age and use.,Modern,Impressionism,1928,Other,Yes
2500,Doris McCarthy,funzionario,Excellent condition.,Contemporary,Abstract,2021,Excellent,No
2500,Doris McCarthy,rosadue,Excellent condition.,Contemporary,Abstract,2021,Excellent,Yes
2500,Doris McCarthy,orizzontale,Excellent condition.,Contemporary,Abstract,2021,Excellent,Yes
2500,Doris McCarthy,giallouno,Excellent condition.,Contemporary,Abstract,2022,Excellent,Yes
7000,Flip Schulke,Ali Underwater,This print is in generally excellent condition.,Modern,Realism,1961,Excellent,Yes
12000,Cindy  Sherman,Madame de Pompadour (née Poisson),"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1990,Excellent,Yes
10000,Cindy  Sherman,Madame de Pompadour (née Poisson),"This work is in excellent condition, direct from the publisher",Contemporary,Conceptual ,1990,Excellent,Yes
2500,Joel Otterson,Mr. and Mrs. Monster Meat Carving Set,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1994,Excellent,Yes
900,César,L'Empreinte Digitale (White),"This work is in excellent condition, direct from the publisher.",Contemporary,Nouveau Réalisme,1991,Excellent,Yes
900,César,L'Empreinte Digitale (Blue),"This work is in excellent condition, direct from the publisher.",Contemporary,Nouveau Réalisme,1991,Excellent,Yes
12000,Cindy  Sherman,Madame de Pompadour (née Poisson),"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1990,Excellent,Yes
12000,Cindy  Sherman,Madame de Pompadour (née Poisson),"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1990,Excellent,Yes
800,Jean Tinguely,Amour Totale,"This work is in excellent condition, direct from the publisher.",Contemporary,Nouveau Réalisme,1991,Excellent,Yes
18000,Yinka Shonibare CBE,Carriage Clock,"This work is in excellent condition, direct from the publisher.",Contemporary,Social Realism,2010,Excellent,Yes
1500,Meyer Vaisman,Leo,"This work is in excellent condition, direct from the publisher.",Contemporary,Neogeo,1992,Excellent,Yes
800,Jean Tinguely,Amour Totale,"This work is in excellent condition, direct from the publisher.",Contemporary,Nouveau Réalisme,1991,Excellent,Yes
10000,Cindy  Sherman,Madame de Pompadour (née Poisson),"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1990,Excellent,Yes
42500,Cindy  Sherman,Madame de Pompadour (née Poisson),"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1990,Excellent,Yes
42500,Cindy  Sherman,Madame de Pompadour (née Poisson),"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1990,Excellent,Yes
27500,George Segal,Classical Still Life,"This work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,1990,Excellent,Yes
7000,Lucas  Samaras,Platter,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism,1996,Excellent,Yes
7000,Tom Otterness,Elijah Cup,"This work is in excellent condition, direct from the publisher.",Contemporary,Social Realism,1994,Excellent,Yes
18000,Tom Otterness,Seder Plate,"This work is in excellent condition, direct from the publisher.",Contemporary,Social Realism,1994,Excellent,Yes
5000,John Chamberlain,Tasted Snow,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism,1996,Excellent,Yes
8000,Walter Robinson,Tumultuous Heart,This work is in excellent condition.,Contemporary,Pop Art,2017,Excellent,Yes
10000,James Welling,New Abstraction No. 59 (Red Stripe),This work is in excellent condition.,Contemporary,Conceptual ,2010,Excellent,Yes
24000,Brian Calvin,Beneath the Sun,"This work is in excellent condition, direct from the publisher.",Contemporary,Surrealism,2019,Excellent,Yes
8500,Jonathan Lasker,Untitled,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract,2011,Excellent,Yes
18000,Jonas Wood,Yellow and Orange Orchid Clipping,This work is in excellent condition.,Contemporary,Pop Art,2018,Excellent,Yes
22500,Gustave Blache III,Natalie Scrape Cleaning,This work is in very good condition.,Contemporary,Realism,2014,Good,Yes
42000,Gustave Blache III,Celia with Blade (Standing on Footstool),This work is in very good condition.,Contemporary,Realism,2016,Good,Yes
28500,Gustave Blache III,Simon Test Cleaning with Bonhams,This work is in very good condition.,Contemporary,Realism,2014,Good,Yes
8500,Darío Escobar,Sin Título,"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,2016,Excellent,Yes
1800,Ivan Albright,Follow Me,Light spotting to print margins.Small scuffs to frame. Artwork not examined outside of frame. ,Modern,Realism,1948,Other,Yes
6000,Michael Wesely,Square Meals,"Please note, the colors and shades in the online catalogue illustration may vary depending on screen settings. This Cibachrome print is in generally excellent condition. The colors remain vibrant and saturated, with no apparent fading. Visible only upon very close examination are occasional deposits of retouching. When examined closely in high raking light, some shallow scratches care visible, possibly a result of processing. There is an approximately one-inch scratch in the lower right quadrant, primarily in the margin, and each margin corner is scuffed where the print has been in contact with the frame. None of the aforementioned are immediately visible nor do they detract from the overall fine appearance of this photograph.",Contemporary,Abstract,1996,Excellent,Yes
6000,Russell Young,Marilyn Crying (B+W),This work is in excellent condition.There is some slight warping of paper on the bottom left.Frame has a minor 5 inch scratch to top.Not examined out of frame.,Contemporary,Pop Art,2000,Excellent,Yes
6000,John Fischer,Cain and Abel,Very small hole at center of canvas.Moderate edge wear.,Post-War,Expressionism,1971,Other,Yes
3000,John Fischer,Vive la France,"Some areas of edges are covered with adhesive paper, missing at corners.Moderate edge wear with small gouges to canvas edges and corners.Moderate wear to wood frame.The back fitted with a hanging wire.",Post-War,Expressionism,1960,Other,No
6500,John Fischer,Secret Source,Unpainted stapled edges.Occasional edge wear to canvas.,Post-War,Expressionism,1972,Other,No
6000,John Fischer,Portrait,Occasional marks and fraying to canvas edge. ,Post-War,Expressionism,1972,Other,Yes
6000,John Fischer,Horizontal Extension,"Nicks, gouges and moderate edge wear.",Post-War,Expressionism,1990,Other,No
6000,John Fischer,Yaweh,"Not examined outside of frame.Nicks, scratches and some yellowing to frame. ",Post-War,Expressionism,1984,Other,Yes
2000,John Fischer,Untitled,Pinholes and tears at corners.,Post-War,Expressionism,1990,Other,Yes
4000,John Fischer,Untitled ,Occasional edge wear to canvas sides and corners.,Post-War,Expressionism,1984,Other,No
3000,John Fischer,Triangle #NY.6,Occasional nicks and edge wear.,Post-War,Expressionism,1972,Other,Yes
5000,John Fischer,Escape,Occasional marks and wear to edges. ,Post-War,Surrealism,1981,Other,No
3000,John Fischer,Triangle #NY,Occasional nicks to edges.,Post-War,Abstract,1972,Other,No
6000,John Fischer,Untitled ,Occasional wear to edges.,Post-War,Expressionism,1971,Other,No
6000,John Fischer,Horizontal Line of Lines,"Sides are wrapped with adhesive paper. Occasional nicks, gouges and edge wear. ",Post-War,Expressionism,1990,Other,No
6000,John Fischer,Untitled ,Occasional marks and wear to edges.,Post-War,Expressionism,1971,Other,No
3000,John Fischer,Triangle #G.10,"Occasional nicks, scratches and edge wear.More noticeable gouge to left edge.Sides are wrapped with adhesive paper, small string attached at edge.",Post-War,Abstract,1984,Other,Yes
5995,James A. Fetherolf,Abandoned Barn,Work is in original condition.,Post-War,Realism,1980,Other,Yes
5995,James A. Fetherolf,Untitled (Laguna),Work in original condition.,Post-War,Realism,1980,Other,Yes
14000,KAWS,Man's Best Friend ,Excellent condition.,Contemporary,Street Art,2016,Excellent,Yes
14000,KAWS,Man's Best Friend ,Excellent condition.,Contemporary,Street Art,2016,Excellent,Yes
2000,Henry Moore,"Les Poètes, Four Standing Figures",No obvious signs of damage or wear.,Post-War,Abstract,1973,Other,Yes
2000,Henry Moore,"Les Poètes, Ideas from a Sketchbook",No obvious signs of damage or wear.,Post-War,Abstract,1976,Other,Yes
2000,Henry Moore,"Les Poètes, Three Sculptural Forms",No obvious signs of damage or wear.,Post-War,Abstract,1973,Other,Yes
2000,Henry Moore,"Les Poètes, Reclining Woman",No obvious signs of damage or wear.,Post-War,Abstract,1973,Other,Yes
2000,Henry Moore,"Les Poètes, Creole Lady",No obvious signs of damage or wear.,Post-War,Abstract,1973,Other,Yes
2000,Henry Moore,"Les Poètes, Two Heads",No obvious signs of damage or wear.,Post-War,Abstract,1973,Other,Yes
3500,Marc Chagall,"The Angel, M.288",No obvious signs of wear to print.,Post-War,Surrealism,1960,Other,No
3000,Lucien Hervé,Maquette de Jean Prouvé,One small crease to photograph on the bottom edge.Artist retouch marks in upper right-hand corner.Cropped to size by artist.,Post-War,Realism,1950,Other,Yes
5000,Edmund Darch Lewis,Morning on the Brandywine ,Not examined out of frame.No visible loss to painting.Craquelure on surface of canvas from age.Loss to frame on lower right.Discoloration to back of canvas consistent with age.,19th Century,Realism,1896,Other,Yes
9500,Robert Indiana,"Seasons of Hope, Summer",No obvious signs of damage or wear.,Contemporary,Pop Art,2012,Other,Yes
2200,Charlemagne Palestine,356 CcornUuoOrphanosS two,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2018,Excellent,Yes
4000,Lita Albuquerque,Island Universes I,"The work is in excellent condition, direct from the publisher.",Contemporary,Environmental Art,2002,Excellent,Yes
2500,Math Bass,Newz!,"The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction,2018,Excellent,Yes
